#Table1
u,g,r,i,z,subClass
25.31366,24.44746,22.24497,19.94479,18.41045,M8
18.00281,16.83813,16.4352,16.26652,16.22217,G2
19.40452,16.84115,15.56621,15.08606,14.81253,K7
26.03407,23.3363,21.85425,19.39484,17.99368,M7
20.34155,19.13565,19.17864,19.2692,19.30074,A0
19.05948,18.03857,17.98011,17.9773,17.98776,A0
18.68569,17.66028,17.49903,17.47258,17.51377,A0
19.67224,19.56351,19.86013,20.14138,20.90456,WD
22.29536,20.7292,20.16653,19.59638,19.23024,T2
21.20934,18.48364,17.27423,16.81676,16.57839,K5
24.86106,23.23252,21.15834,19.78346,19.08822,M4
20.19718,20.03059,20.37576,20.67494,21.16835,WD
19.31058,18.31638,18.22467,18.24236,18.29479,A0
16.83607,15.76313,15.73844,15.7762,15.85663,A0
19.96362,18.93259,18.88501,18.95844,18.96936,A0
17.54523,16.26778,16.40551,16.50194,16.56481,A0
25.92498,23.93039,22.11453,20.15114,18.78298,M7
18.70341,17.73843,18.00447,18.22399,18.36795,A0
18.42093,17.21001,16.93438,16.83944,16.78065,F5
18.34631,17.24511,17.16097,17.15908,17.18432,A0
24.23414,21.15763,19.56074,18.63411,18.16223,M1
16.80257,15.75441,15.44526,15.31538,15.30059,F5
19.73005,19.38517,19.65191,19.94671,20.02624,WD
19.18489,18.05965,17.95939,17.94614,17.92828,A0
20.69378,20.42916,20.66496,21.05479,20.9012,WD
19.49443,19.51044,19.76941,19.94058,20.11153,OB
25.76849,24.07148,21.99078,20.08614,18.66094,M6
20.53289,18.56909,17.7719,17.47686,17.3109,K3
17.57967,16.43729,16.05452,15.94917,15.88997,G0
19.05227,18.85342,19.20555,19.5037,19.74452,A0p
20.07401,19.81286,20.09928,20.34329,20.53087,WD
17.79687,16.86974,16.68642,16.59225,16.58903,A0
19.14181,19.49186,19.93278,20.37663,20.9758,WD
24.1725,20.85296,19.57572,18.16891,17.40113,M2
19.40623,18.33216,18.30189,18.32423,18.40119,A0
18.24192,17.35829,17.09763,17.00084,16.95076,A0
16.93604,15.72836,15.96775,16.15457,16.23216,A0
19.73945,18.58465,18.52019,18.56231,18.60417,A0
19.43238,18.43505,18.06348,17.91399,17.85937,F5
23.09501,20.92847,19.29308,17.989,17.30032,M3
18.01827,16.89603,16.96516,17.05625,17.11806,A0
21.04868,18.52746,17.10188,16.41942,15.9934,M0
18.23269,17.78101,17.95517,18.14896,18.40291,WD
20.24597,17.7305,16.48383,15.97029,15.67893,K7
18.61722,17.69875,17.44114,17.3381,17.32906,F5
18.79134,17.5428,17.09357,16.94,16.88638,F9
18.70841,17.54517,17.07199,16.87029,16.78082,F2
17.16386,15.95268,15.69918,15.666,15.70532,F5
19.68575,18.38343,18.48562,18.59189,18.62317,A0
17.05332,16.05723,15.73061,15.6198,15.59218,F5
18.72286,17.70701,17.35954,17.23158,17.1809,F5
17.37674,17.61303,18.08406,18.41848,18.75913,WD
20.38595,19.30833,19.09465,19.01687,18.97601,A0
18.79168,17.83732,17.55108,17.43092,17.42125,F5
19.01251,19.02243,19.32648,19.56919,19.79047,OB
18.36219,17.73974,17.38617,17.23502,17.22583,F2
18.09719,16.96806,16.57521,16.42757,16.38976,G2
18.82293,17.04018,16.35302,16.11956,16.02276,K1
19.36768,16.87632,15.68107,15.10053,14.9529,K7
21.06917,20.21104,19.9426,19.79885,19.7987,B6
22.61563,19.58231,18.12219,17.35192,16.9529,M0
20.77745,19.41325,18.84252,18.60258,18.46365,F9
20.25499,18.83287,18.27074,18.00189,17.83477,G2
20.87613,19.38695,18.78655,18.57924,18.51378,F9
20.58761,19.00912,18.42707,18.20334,18.10518,F9
22.12398,19.40059,17.93118,17.23703,16.84705,M0
20.53326,18.8737,18.16803,17.87959,17.75165,K1
22.44475,20.50451,19.59098,19.24355,19.12967,K3
21.29951,20.37684,19.99785,19.77041,19.86274,F5
21.88548,19.7566,18.81136,18.441,18.29109,K3
20.26928,18.64965,18.02048,17.79166,17.62448,F9
20.03494,19.11911,18.74702,18.57087,18.56248,F5
20.80807,19.35037,18.59792,18.26485,18.17929,F9
22.00338,19.60976,18.2217,17.58991,17.25739,K7
20.9627,20.14096,19.88701,19.72831,19.679,B6
20.711,19.16796,18.55715,18.30252,18.11462,F9
21.66311,20.17631,19.57205,19.34371,19.228,F9
22.53121,19.91953,18.47311,17.79449,17.36689,M0
19.45354,17.12985,16.24957,15.95449,15.80362,K3
19.99214,17.59016,16.50032,16.03204,15.76077,K5
19.13798,17.76776,17.18317,16.94868,16.84251,F9
19.67485,17.16952,16.01716,15.57759,15.34175,K5
20.7789,18.29902,17.13055,16.62594,16.36271,K7
18.85193,17.94322,17.65597,17.53567,17.47727,A0
21.22467,18.46355,17.21268,16.71681,16.39252,K7
21.26015,18.82791,17.49491,16.89448,16.5476,K7
18.56878,16.15646,15.08019,14.67877,14.4459,K5
18.39363,16.78923,16.16103,15.93085,15.79342,F9
18.61407,17.03629,16.42711,16.21652,16.08782,F9
19.86956,18.59755,18.05057,17.8067,17.69035,G2
18.20846,16.93121,16.4894,16.33956,16.30326,F9
18.98071,17.4156,16.81911,16.5996,16.51187,F9
22.9613,19.59366,18.09891,17.35173,16.93611,M0
18.30509,17.29363,16.82647,16.6155,16.51789,F5
18.8229,17.33504,16.74172,16.51108,16.41122,F9
19.24095,17.73571,17.15047,16.94356,16.812,F9
19.29921,17.17237,16.31197,16.01198,15.86124,K3
19.61506,17.25457,16.30747,15.98046,15.81741,K3
16.94393,15.38253,14.80906,14.62173,14.55672,F9
18.91662,17.40452,16.81269,16.60808,16.49157,F9
19.59935,18.09169,17.47245,17.24266,17.10692,F9
20.64475,18.04888,16.83237,16.2822,15.9692,K7
17.73555,16.33482,15.72914,15.46498,15.33774,F9
19.78762,17.23148,16.05989,15.57333,15.29378,K5
20.66412,18.62109,17.76438,17.44261,17.28599,K3
17.29789,16.12501,15.71027,15.55786,15.50565,F2
17.41876,16.37533,15.92792,15.7323,15.66079,F5
21.49499,18.73434,17.19398,16.45121,16.02663,M0
16.91681,15.36365,14.71234,14.4755,14.3517,F9
22.36104,19.22593,18.02038,17.58047,17.31568,K5
16.76556,15.07641,14.41653,14.20414,14.12553,F9
23.55664,21.25315,19.42492,18.265,17.64394,M2V
18.64062,17.33245,16.85364,16.6646,16.58424,F2
19.75632,19.24352,19.10621,19.06326,19.08914,CV
20.24592,18.98435,18.78818,18.70754,18.70875,A0
20.38728,19.06676,19.11357,19.19592,19.35273,A0
20.77146,19.66304,19.92533,20.122,20.21493,A0
17.80723,16.61237,16.18154,16.02633,15.95632,G2
18.04496,16.92113,16.59071,16.49057,16.42327,F5
17.82768,16.44714,15.97222,15.77034,15.68768,F9
