#Table1
u,g,r,i,z,subClass
23.66933,21.18797,19.78485,18.64835,18.07299,M3
18.32485,17.10037,16.64862,16.76443,16.41002,G2
17.82098,16.92211,16.64964,16.55406,16.53182,F5
17.39351,16.40913,16.06745,15.93039,15.9062,F5
20.32071,19.1646,18.98771,18.93402,18.98971,A0
19.8831,18.81345,18.5112,18.41228,18.35748,A0
23.7761,21.13787,19.67975,19.01241,18.65106,M0
18.9495,17.78411,17.33475,17.15708,17.11405,F5
18.96831,17.94357,17.52737,17.34416,17.25019,F5
24.56522,23.16866,21.01423,19.09577,18.06617,M5
19.79373,18.75034,18.92275,19.10366,19.21529,A0
23.96719,22.01758,20.56278,19.7049,19.35688,M1
19.44651,19.19505,19.51321,19.69687,20.65045,WD
24.95534,21.76517,19.97212,18.44571,17.52431,M5
21.65983,19.03466,17.61883,16.97964,16.60097,M0
25.3618,21.65503,19.90896,19.03885,18.41923,M3
19.21278,17.95461,17.44014,17.24887,17.18132,F9
19.70391,19.22837,19.13173,19.17783,19.35241,CV
20.25453,18.68335,18.06121,17.8371,17.68564,F9
20.81363,20.43642,20.65509,20.97891,21.77804,WD
25.09654,22.5521,20.99687,18.99675,17.96312,M6
25.55184,21.47441,20.35658,20.01388,19.7672,K7
17.31136,16.41256,16.06721,15.9393,15.92834,F5
22.93463,22.07006,20.88137,18.61635,17.48002,M6
19.41538,18.43896,18.14474,18.01492,17.9937,F5
20.15529,18.92381,18.71256,18.65672,18.74365,A0
18.3058,16.99034,16.89952,16.87257,16.88237,A0
19.73665,18.64234,18.15913,17.96353,17.87463,G2
19.68606,18.38525,17.85731,17.64664,17.56906,F2
21.10834,20.44341,20.46521,20.7056,20.68611,WD
18.96655,17.83935,17.44322,17.30242,17.26997,F2
19.4059,18.8385,18.75027,18.72701,18.84571,CV
19.45569,18.97945,19.04548,19.18432,19.34776,WD
22.84263,22.82308,21.26231,19.25215,18.0707,M6
17.9905,17.03334,16.72083,16.61746,16.5561,F5
18.50566,17.39316,17.36706,17.42556,17.47009,A0
24.19578,22.98991,21.29437,19.29659,18.20596,M6
18.8641,18.71725,18.88194,18.98015,19.10908,B9
24.23356,22.79071,20.72825,18.52987,17.37661,M6
17.91455,16.94787,16.67682,16.59072,16.54666,F5
17.61961,16.71795,16.39795,16.28796,16.25718,F5
24.789,22.4292,20.85581,19.02611,17.97298,M5
17.96741,17.62064,17.70262,17.18588,16.57179,WD
22.00806,19.15132,17.50504,16.88046,16.53785,M0V
19.33664,18.27536,17.88732,17.71146,17.68218,F2
22.4665,19.90818,18.76458,18.36828,18.11428,K5
16.82825,15.77963,15.64111,15.60655,15.64194,A0
22.57426,20.14306,18.60472,17.71222,17.23035,M1
17.83295,16.81413,16.52533,16.40537,16.38221,F5
18.88331,17.72095,17.8033,17.88047,17.98677,A0
18.36586,17.06604,17.25231,17.26211,17.17261,A0
23.36912,22.46972,20.93176,19.01456,17.88438,M6
19.84349,18.91639,18.64634,18.54101,18.48142,A0
23.90843,21.66791,20.57256,20.16811,20.00992,K5
18.83623,17.59344,17.15877,16.98741,16.91079,F9
19.38491,18.3567,18.15788,18.12276,18.10703,A0
24.17929,22.26868,20.56013,18.67566,17.63787,M6
18.86591,17.72786,17.28209,17.13251,17.04397,G2
18.12416,17.06883,16.63909,16.47917,16.41835,F2
21.04635,18.72942,17.6963,17.40468,17.15814,K5
16.03327,14.97843,15.18599,15.37327,15.49708,A0
18.05202,18.02605,18.41952,18.7427,18.98001,A0
20.57205,19.2581,19.16008,19.09318,18.99297,A0
20.8105,20.30018,20.48633,20.6233,21.08365,WD
22.5045,20.09191,18.78642,17.75128,17.13823,M2
20.59438,20.39741,18.96876,18.16848,17.59515,M4
18.90749,17.68034,17.64206,17.68907,17.75274,A0
17.17016,15.93715,15.8912,15.90604,15.91832,A0
23.16294,20.63893,19.36684,18.8789,19.05156,K5
20.70137,19.03233,18.38287,18.12938,18.01033,K1
18.0687,16.7637,16.72091,16.73753,16.77304,A0
22.74213,20.37563,19.3576,19.00842,18.88334,K3
17.08093,15.92953,15.38309,15.16995,15.19962,G2
23.91185,22.14602,20.62805,18.4923,17.39861,M6
25.46692,21.44119,20.08194,18.6959,17.96079,M4
18.87018,17.86972,17.50986,17.37904,17.32418,F5
22.7473,21.35432,20.52535,20.18303,19.89803,K3
20.45871,19.08486,18.5399,18.34608,18.20957,G2
24.54695,22.19505,20.64628,20.00375,19.59033,K7
16.54257,15.26822,15.16914,15.19774,15.26112,A0
17.56659,17.30462,16.79844,16.55095,16.39631,K5
23.8255,20.63808,19.76984,19.463,19.16608,K3
19.8504,19.40405,19.47874,19.05933,18.39086,WD
24.58318,22.98192,21.24587,18.47345,16.899,M8
18.00329,17.12,16.77108,16.62678,16.58052,F5
19.04791,17.81552,17.4233,17.2608,17.18467,F5
17.11981,16.19662,15.92377,15.80539,15.77798,A0
19.13541,18.26867,17.88532,17.724,17.6629,F5
22.88141,21.06652,19.679,18.86819,18.40843,M1
17.0551,15.91983,15.86475,15.89165,15.93223,A0
19.96083,19.73402,20.09742,20.40248,20.75366,WD
18.87449,17.31417,16.76269,16.55027,16.39122,F9
18.20566,16.99211,16.56167,16.40608,16.33955,F9
15.84607,15.16301,15.47006,15.72045,15.91797,A0p
20.44107,20.07268,20.09417,19.56849,19.03798,M3
20.6568,18.97724,18.37317,18.83089,18.08006,F9
20.09033,19.50809,19.60675,19.80656,20.03564,WD
20.66988,20.39076,19.81391,19.12806,18.74673,M2
20.02949,19.07693,18.6594,18.51304,18.40447,F5
17.76559,16.70865,16.33873,16.20682,16.17665,F5
17.13338,16.97817,17.30482,17.5975,17.8557,WD
18.05433,17.04366,16.72079,16.6055,16.58664,F5
19.85158,18.57282,18.10941,17.95686,17.90477,F9
17.75572,16.51742,16.61184,16.72952,16.84195,A0
23.9783,22.3668,20.90269,18.95016,17.87943,M5
17.88315,16.79033,16.48393,16.35578,16.33582,F5
17.74393,16.80584,16.50061,16.40141,16.36681,F5
